ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
space,21.445995,space,20.46068,right,1.35824,left,1.56623,left,3.49019,space,8.60609,right,3.534105,0,0,0,95,1,skubizik,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.29181,0,1,1,153,1,kontrapunkt,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.408495,0,2,2,226,1,szalicil,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.610215,0,3,3,222,1,nyersarany,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.485525,0,4,4,174,1,cianid,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.92749,0,5,5,132,1,hatalom,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.0182,0,6,6,45,1,népszerű,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.66183,0,7,7,58,1,barát,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.950725,0,8,8,93,1,kilukát,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.83577,0,9,9,85,1,glükóz,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.94345,0,10,10,194,1,végbél,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.75396,0,11,11,23,1,szelégül,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.78035,0,12,12,241,1,kárpit,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.89422,0,13,13,211,1,tábornagy,KT131,nő,1990,16,2021-05-13_09h40.29.514,ranlexdec,2020.2.5,Win32,60
