bin	word	pos	lfpm10r	nsyl	nchar
1	extrém	adjective	1.384	2	6
1	pohár	noun	1.388	2	5
1	törődik	verb	0.7	3	7
1	ellenfél	noun	1.362	3	8
2	szegény	adjective	1.681	2	7
2	eszköz	noun	1.983	2	6
2	alkalom	noun	1.587	3	7
2	időszak	noun	1.939	3	7
3	mítosz	noun	0.619	2	6
3	közhely	noun	0.426	2	7
3	tartalom	noun	1.71	3	8
3	rejtőzik	verb	0.612	3	8
4	barát	noun	1.221	2	5
4	dolog	noun	2.387	2	5
4	törékeny	adjective	0.894	3	8
4	karakter	noun	1.43	3	8
5	profit	noun	0.862	2	6
5	gazdag	adjective	1.977	2	6
5	kötődik	verb	1.137	3	7
5	példakép	noun	0.329	3	8
6	lélek	noun	1.694	2	5
6	hajlik	verb	0.575	2	6
6	dolgozik	verb	1.948	3	8
6	hatalom	noun	1.658	3	7
7	beton	noun	1.056	2	5
7	jármű	noun	1.595	2	5
7	gyűjtemény	noun	1.112	3	10
7	keresztény	adjective	1.817	3	10
8	űrlap	noun	1.015	2	5
8	irány	noun	1.373	2	5
8	töredék	noun	0.316	3	7
8	könnyelmű	adjective	0.019	3	9
9	örmény	adjective	0.795	2	6
9	végbél	noun	0.305	2	6
9	százalék	noun	1.899	3	8
9	reagál	verb	1.189	3	6
10	régész	noun	0.538	2	6
10	század	noun	2.036	2	6
10	égitest	noun	0.434	3	7
10	ausztrál	adjective	1.198	3	8
11	bélyeg	noun	0.274	2	6
11	pereg	verb	0.061	2	5
11	hálózsák	noun	-0.037	3	8
11	nagyszámú	adjective	0.902	3	9
12	kárpit	noun	0.194	2	6
12	balközép	adjective	-0.179	3	8
12	tábornagy	noun	-0.321	3	9
12	diktátor	noun	0.599	3	8
13	kislány	noun	1.415	2	7
13	komoly	adjective	2.29	2	6
13	csatázik	verb	-0.489	3	8
13	piktogram	noun	-0.278	3	9
14	kulcscsont	noun	-0.536	2	10
14	délceg	adjective	-0.228	2	6
14	csengettyű	noun	-0.622	3	10
14	sárgaréz	noun	-0.031	3	8
15	sugár	noun	0.422	2	5
15	komplex	adjective	1.745	2	7
15	igény	noun	1.885	2	5
15	hidroxid	noun	-0.536	3	8
16	olaj	noun	1.54	2	4
16	iszlám	adjective	1.246	2	6
16	nárcisz	noun	-0.25	2	7
16	újgazdag	noun	-0.337	3	8
17	árus	adjective	-0.422	2	4
17	szempont	noun	1.61	2	8
17	sporthorgász	noun	-0.907	3	12
17	rakódik	verb	0.094	3	7
18	tenger	noun	1.456	2	6
18	rövid	adjective	2.339	2	5
18	forgórész	noun	-0.244	3	9
18	csontdarab	noun	-1.165	3	10
19	fürkész	verb	-0.829	2	7
19	látszik	verb	2.055	2	7
19	ómagyar	adjective	-0.441	3	7
19	orális	adjective	0.569	3	6
20	színpad	noun	1.058	2	7
20	tarol	verb	-0.219	2	5
20	elegy	adjective	-1.266	2	5
20	horizont	noun	0.296	3	8
21	lépték	noun	0.16	2	6
21	darab	noun	2.044	2	5
21	ború	noun	-0.485	2	4
21	nagybeteg	noun	-0.276	3	9
22	glükóz	noun	0.41	2	6
