word	fpm	lemma_fpm	nchar	pos	bin	lfpm10r	nonce_word	incorrect_answers	correct_answers	correct_odds	correct_log_odds	residual	pred
abszint	0.2175029171528588	0.36406067677946324	7	noun	26	-0.659	FALSE	4	26	5.4	1.6863989535702288	-0.48951883178868544	2.1759177853588696
abszolútérték	0.030221703617269544	0.08354725787631272	13	noun	18	-1.554	FALSE	0	38	39	3.6635616461296463	1.924065049713282	1.7394965964163935
adszorbens	0.04970828471411902	0.1764294049008168	10	adjective	20	-1.303	FALSE	26	15	0.5925925925925926	-0.5232481437645479	-2.3718500374165616	1.8486018936520128
aggófű	0.03897316219369895	0.04690781796966161	6	noun	20	-1.365	FALSE	22	8	0.391304347826087	-0.9382696385929302	-2.786871532244944	1.8486018936520128
agronómus	0.12508751458576428	0.24037339556592766	9	noun	24	-0.862	FALSE	13	16	1.2142857142857142	0.1941560144409574	-1.8726564736822944	2.066812488123251
agráregyetem	0.047607934655775966	0.1266044340723454	12	noun	19	-1.479	FALSE	3	42	10.75	2.3749057545736716	0.5808565095394678	1.7940492450342032
agyag	3.452742123687281	6.90583430571762	5	noun	36	0.579	FALSE	1	32	16.5	2.803360380906535	0.08191610936956778	2.721444271536965
akarózik	0.03488914819136523	1.0575262543757293	8	verb	20	-1.395	FALSE	8	23	2.6666666666666665	0.9808292530117262	-0.8677726406402874	1.8486018936520128
aktív	110.98658109684948	144.83862310385064	5	adjective	49	2.072	FALSE	0	26	27	3.295836866004329	-0.13479183756416258	3.4306287035684884
alap	99.91388564760794	1168.1914819136523	4	noun	47	1.812	FALSE	0	25	26	3.258096538021482	-0.06342686831139019	3.3215234063328696
alapszabály	11.939206534422404	30.185064177362893	11	noun	38	0.803	FALSE	0	32	33	3.49650756146648	0.6659579926938941	2.830549568772584
alapszik	6.697199533255542	7.071411901983664	8	verb	39	0.885	FALSE	1	23	12	2.4849066497880004	-0.40019556760239544	2.8851022173903935
alexandrinus	0.034305717619603264	0.06371061843640607	12	noun	18	-1.605	FALSE	16	21	1.2941176470588236	0.25782910930209985	-1.4816674871142943	1.7394965964163935
alfél	0.004084014002333722	0.18809801633605602	5	noun	11	-2.365	FALSE	8	22	2.5555555555555554	0.9382696385929302	-0.41935841749879726	1.357628056091727
algoritmikus	0.5116686114352392	0.5749124854142357	12	adjective	29	-0.265	FALSE	3	32	8.25	2.1102132003465894	-0.22936253086571048	2.3395757312122982
alkalom	33.809918319719955	374.87444574095684	7	noun	45	1.587	FALSE	0	32	33	3.49650756146648	0.284089452369227	3.212418109097251
alkot	13.157292882147024	120.91563593932322	5	verb	42	1.179	FALSE	0	24	25	3.218875824868201	0.1701156616243761	3.0487601632438217
allodiális	0.02602100350058343	0.028471411901983663	10	adjective	18	-1.526	FALSE	31	3	0.125	-2.0794415416798357	-3.81893813809623	1.7394965964163935
amodális	0.004667444574095682	0.005834305717619603	8	adjective	12	-2.268	FALSE	30	9	0.3225806451612903	-1.1314021114911006	-2.5435828162006375	1.4121807047095367
analizál	0.07666277712952159	1.3877479579929988	8	verb	22	-1.079	FALSE	1	41	21	3.044522437723423	1.08681524683579	1.957707190887632
angol	149.34445740956826	198.02520420070013	5	adjective	50	2.182	FALSE	0	31	32	3.4657359027997265	-0.01944544938657474	3.4851813521862978
anorák	0.04095682613768962	0.10163360560093349	6	noun	20	-1.335	FALSE	7	21	2.75	1.01160091167848	-0.8370009819735337	1.8486018936520128
