Subject	data_type	participant_cap	max_trial_number	max_block	n_mistakes_for_real_words_total	exp	link
200							
1000							
1001	complete data	32	122	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1002	complete data	48	113	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1004	complete data	28	119	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1005	complete data	32	107	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1006	complete data	35	116	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1008							
1102	complete data	46	114	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1103	complete data	34	119	50	22	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1201	complete data	34	122	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1202	complete data	31	113	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1203	complete data	31	103	46	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1204	complete data	31	119	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1205	complete data	34	113	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1206	complete data	35	113	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1207	complete data	33	75	34	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1208	complete data	43	117	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1209	complete data	43	107	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1210	complete data	18	116	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1211	complete data	27	118	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1212	complete data	37	120	50	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
121212							
1213	complete data	34	120	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1214	complete data	34	118	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1215	complete data	29	115	50	10	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1302							
1303	complete data	37	116	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1304							
1305	complete data	18	117	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1306	complete data	30	124	50	24	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1307	complete data	20	128	47	37	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1308	complete data	32	126	50	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1309	complete data	50	107	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1310	complete data	50	115	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1312	complete data	31	122	50	26	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1313	complete data	37	113	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1314	complete data	45	109	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1315	complete data	39	111	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1316	complete data	33	122	50	27	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1317	complete data	49	105	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1318	complete data	36	118	50	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1319							
1320	complete data	26	114	49	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1321	complete data	50	109	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1322	complete data	34	114	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1323	complete data	46	108	50	10	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1324	complete data	50	110	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1325	complete data	1	6	2	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1327	complete data	36	109	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1328	complete data	36	120	50	22	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1329	complete data	27	130	50	31	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1330	complete data	36	120	50	27	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1331	complete data	45	113	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1332	complete data	11	116	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1334	complete data	43	116	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1335	complete data	20	118	50	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1336	complete data	50	110	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1337	complete data	30	117	50	23	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1338	complete data	29	110	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1339	complete data	30	115	50	10	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1340	complete data	37	120	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1341	complete data	32	125	50	30	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1342	complete data	50	106	50	5	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1343	complete data	25	115	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1344	complete data	26	114	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1345	complete data	34	118	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1346	complete data	48	106	50	5	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1347	complete data	19	112	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1348	complete data	46	117	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1349	complete data	30	119	50	23	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1350	complete data	33	111	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1351	complete data	31	110	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1352	complete data	31	115	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1353	complete data	45	108	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1354	complete data	35	121	50	30	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1355	complete data	50	104	50	4	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1356	complete data	50	106	50	3	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1357	complete data	39	110	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1358	complete data	18	118	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1359	complete data	32	111	49	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1360	complete data	33	111	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1361	complete data	50	110	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1362	complete data	46	114	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1363	complete data	50	111	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1364	complete data	26	120	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1365	complete data	50	110	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1366	complete data	35	112	49	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1367	complete data	40	113	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1368	complete data	35	115	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1369	complete data	32	122	50	26	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1370	complete data	18	134	50	23	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1371	complete data	18	116	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1372	complete data	50	109	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1373	complete data	1	8	2	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1374	complete data	36	114	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1375	complete data	33	117	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1376	complete data	39	115	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1377	complete data	45	116	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1378	complete data	40	114	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1379	complete data	50	106	50	5	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1380	complete data	36	113	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1381							
1382	complete data	50	111	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1383	complete data	50	106	50	5	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
1918	complete data	49	109	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
19181							
200							
2001	complete data	31	108	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2002	complete data	48	107	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2003	complete data	14	138	50	23	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2004	complete data	40	117	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2005							
